round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,obsolete_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55832590,8,281,133,0,0,0,411,2782,0,52,133
55832591,6,285,142,0,0,0,397,2645,0,52,121
55832592,6,293,133,0,0,0,406,2734,0,52,133
55832593,4,281,110,0,0,0,407,2650,0,52,110
55832594,8,244,109,0,0,0,381,2601,0,52,109
55832595,6,277,142,0,0,0,360,2965,0,52,142
55832596,8,285,119,0,0,0,395,2793,0,52,113
55832597,8,292,152,0,0,0,398,2784,0,52,148
55832598,2,299,126,0,0,0,396,2751,0,52,125
55832599,6,287,137,0,0,0,402,2837,0,52,104
55832600,7,291,160,0,0,0,405,2876,0,52,135
55832601,5,291,126,0,0,0,406,2626,0,52,123
55832602,8,268,96,0,0,0,389,2588,0,52,75
55832603,4,321,159,0,0,0,381,2951,0,52,138
55832604,7,275,117,0,0,0,434,2704,0,52,84
55832605,9,266,121,0,0,0,374,2612,0,52,121
55832606,9,290,126,0,0,0,371,2923,0,52,124
55832607,5,304,129,0,0,0,373,2802,0,52,125
55832608,4,289,126,0,0,0,391,2682,0,52,116
55832609,5,282,133,0,0,0,404,2735,0,52,132
55832610,5,314,149,0,0,0,388,2909,0,52,132
55832611,7,274,120,0,0,0,419,2530,0,52,120
55832612,6,274,120,0,0,0,387,2787,0,52,109
55832613,8,304,133,0,0,0,389,3011,0,52,130
55832614,6,307,155,0,0,0,401,2798,0,52,106
55832615,9,304,155,0,0,0,406,2784,0,52,151
55832616,8,324,169,0,0,0,398,2747,0,52,121
55832617,4,305,159,0,0,0,426,2788,0,52,159
55832618,5,308,165,0,0,0,423,2780,0,51,165
55832619,6,311,137,0,0,0,430,2727,0,51,135
55832620,7,298,167,0,0,0,408,3015,0,52,99
55832621,9,325,137,0,0,0,405,2710,0,52,136
55832622,7,335,174,0,0,0,410,2896,0,52,168
55832623,8,318,192,0,0,0,434,2969,0,52,169
55832624,4,313,179,0,0,0,414,2819,0,52,171
55832625,10,278,128,0,0,0,402,2478,0,52,111
55832626,7,318,163,0,0,0,391,2908,0,51,154
55832627,5,311,178,0,0,0,413,2971,0,51,161
55832628,6,317,169,0,0,0,408,2850,0,51,169
55832629,7,319,172,0,0,0,423,2926,0,51,160
55832630,5,295,139,0,0,0,404,2473,0,51,130
55832631,7,306,172,0,0,0,390,2877,0,51,147
55832632,9,321,157,0,0,0,402,2736,0,51,153
55832633,4,313,160,0,0,0,426,2738,0,51,160
55832634,5,285,120,0,0,0,420,2688,0,51,96
55832635,6,315,119,0,0,0,386,2783,0,51,107
55832636,7,332,180,0,0,0,419,3182,0,51,149
55832637,4,322,144,0,0,0,411,2626,0,51,143
55832638,8,293,133,0,0,0,425,2642,0,51,133
55832639,10,312,155,0,0,0,408,2938,0,51,155
55832640,4,316,146,0,0,0,422,2797,0,51,146
55832641,9,324,160,0,0,0,405,2921,0,51,159
55832642,5,302,144,0,0,0,423,2599,0,51,143
55832643,4,338,154,0,0,0,400,2953,0,51,154
55832644,5,310,137,0,0,0,416,2619,0,51,137
55832645,8,303,176,0,0,0,405,2950,0,51,176
55832646,5,306,136,0,0,0,423,2697,0,51,132
55832647,4,280,165,0,0,0,427,2844,0,51,165
55832648,7,325,150,0,0,0,403,2994,0,52,150
55832649,8,277,149,0,0,0,416,2512,0,52,145
55832650,5,294,150,0,0,0,416,3047,0,52,132
55832651,8,310,155,0,0,0,386,2935,0,52,153
55832652,6,317,162,0,0,0,406,2751,0,52,154
55832653,7,319,157,0,0,0,415,2847,0,52,117
55832654,5,310,173,0,0,0,393,2848,0,52,172
55832655,11,320,149,0,0,0,416,2598,0,52,138
55832656,5,310,153,0,0,0,415,2865,0,52,148
55832657,7,317,138,0,0,0,408,2748,0,52,120
55832658,8,344,161,0,0,0,409,3021,0,52,159
55832659,10,338,157,0,0,0,420,2669,0,52,157
55832660,5,353,154,0,0,0,410,2922,0,52,154
55832661,7,308,137,0,0,0,437,2533,0,51,137
55832662,8,320,168,0,0,0,401,2911,0,51,147
55832663,8,313,166,0,0,0,412,3007,0,51,165
55832664,5,318,190,0,0,0,411,2817,0,51,178
55832665,7,338,180,0,0,0,418,2878,0,51,163
55832666,6,316,160,0,0,0,427,2546,0,51,159
55832667,5,312,161,0,0,0,423,2918,0,51,160
55832668,9,326,146,0,0,0,403,2929,0,51,143
55832669,6,318,167,0,0,0,418,2952,0,51,154
55832670,9,307,150,0,0,0,404,2556,0,51,132
55832671,9,301,160,0,0,0,395,2721,0,51,160
55832672,4,336,148,0,0,0,414,2873,0,51,136
55832673,4,327,153,0,0,0,438,2885,0,51,133
55832674,8,312,139,0,0,0,420,2652,0,51,139
