round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868847,6,293,131,0,0,0,321,207,0,2784,0,44,112
55868848,5,317,134,0,0,0,317,173,0,2729,0,44,80
55868849,5,299,153,0,0,0,336,182,0,2740,0,44,144
55868850,6,336,141,0,0,0,318,195,0,2980,0,44,139
55868851,7,294,154,0,0,0,349,197,0,2668,0,44,132
55868852,3,326,144,0,0,0,313,189,0,2676,0,44,121
55868853,4,312,153,0,0,0,354,184,0,2762,0,44,88
55868854,4,310,153,0,0,0,331,195,0,2779,0,44,150
55868855,5,304,131,0,0,0,336,202,0,2836,0,44,111
55868856,5,292,127,0,0,0,328,169,0,2716,0,44,120
55868857,6,320,146,0,0,0,303,182,0,2796,0,44,126
55868858,4,297,139,0,0,0,340,215,0,2836,0,44,128
55868859,4,312,131,0,0,0,315,194,0,2643,0,44,112
55868860,6,298,149,0,0,0,329,179,0,2825,0,44,142
55868861,4,308,149,0,0,0,320,201,0,2809,0,44,94
55868862,6,322,159,0,0,0,321,198,0,2772,0,44,128
55868863,6,289,141,0,0,0,335,192,0,2697,0,44,99
55868864,8,281,143,0,0,0,304,170,0,2740,0,44,135
55868865,8,309,153,0,0,0,312,198,0,2838,0,44,123
55868866,8,307,144,0,0,0,329,204,0,2727,0,44,130
55868867,5,292,131,0,0,0,324,184,0,2798,0,44,131
55868868,7,292,148,0,0,0,313,187,0,2714,0,44,133
55868869,6,343,133,0,0,0,311,192,0,2802,0,44,112
55868870,5,302,114,0,0,0,366,186,0,2779,0,44,99
55868871,7,299,151,0,0,0,328,171,0,2788,0,44,135
55868872,3,312,132,0,0,0,320,198,0,2596,0,44,124
55868873,8,308,142,0,0,0,336,191,0,2795,0,44,114
55868874,5,308,143,0,0,0,323,183,0,2863,0,44,121
55868875,4,310,139,0,0,0,324,186,0,2942,0,44,70
55868876,11,322,151,0,0,0,327,188,0,2603,0,44,109
55868877,6,328,129,0,0,0,325,195,0,2608,0,44,129
55868878,6,294,143,0,0,0,345,181,0,2739,0,44,129
55868879,4,306,148,0,0,0,318,199,0,2796,0,44,110
55868880,8,318,143,0,0,0,330,203,0,2931,0,45,113
55868881,6,299,148,0,0,0,346,188,0,2644,0,45,140
55868882,10,301,149,0,0,0,320,194,0,2829,0,45,117
55868883,11,312,130,0,0,0,329,207,0,2520,0,45,127
55868884,5,281,127,0,0,0,338,187,0,2843,0,45,127
55868885,6,288,144,0,0,0,305,170,0,2879,0,45,137
55868886,4,305,131,0,0,0,308,195,0,2652,0,45,98
55868887,9,318,161,0,0,0,331,196,0,2860,0,45,148
